timestamp,Flujo Aire Reactor 1,Flujo Aire Reactor 3,OD Reactor 1,OD Reactor 2,test
2024-12-05T09:55:00-04:00,137.0,5.0,,,
2024-12-05T09:56:00-04:00,147.0,0.0,,,
2024-12-05T09:57:00-04:00,147.0,71.0,,,
2024-12-05T09:58:00-04:00,138.0,81.0,,,
2024-12-05T09:59:00-04:00,135.0,77.0,,,
2024-12-05T10:00:00-04:00,138.0,96.0,,,
2024-12-05T10:01:00-04:00,114.0,76.0,,,
2024-12-05T10:02:00-04:00,114.0,81.0,,,
2024-12-05T10:03:00-04:00,285.0,137.0,,,
2024-12-05T10:04:00-04:00,2015.0,2141.0,,,
2024-12-05T10:05:00-04:00,2820.0,3364.0,,,
2024-12-05T10:06:00-04:00,6051.0,5268.0,,,
2024-12-05T10:07:00-04:00,8275.0,6702.0,,,
2024-12-05T10:08:00-04:00,,8551.0,,,
2024-12-05T10:09:00-04:00,,8724.0,,,
2024-12-05T10:10:00-04:00,,8910.0,,,
2024-12-05T10:11:00-04:00,,8866.0,,,
2024-12-05T10:12:00-04:00,,8670.0,,,
2024-12-05T10:13:00-04:00,,8948.0,,,
2024-12-05T10:14:00-04:00,,8582.0,,,
2024-12-05T10:15:00-04:00,,8733.0,,,
2024-12-05T10:16:00-04:00,,,,,
2024-12-05T10:17:00-04:00,,8651.0,,,
2024-12-05T10:18:00-04:00,,8597.0,,,
2024-12-05T10:19:00-04:00,,8865.0,,,
2024-12-05T10:20:00-04:00,,8838.0,,,
2024-12-05T10:21:00-04:00,,,,,
2024-12-05T10:22:00-04:00,,8874.0,,,
2024-12-05T10:23:00-04:00,,8670.0,,,
2024-12-05T10:24:00-04:00,,8893.0,,,
2024-12-05T10:25:00-04:00,,,,,
2024-12-05T10:26:00-04:00,,,,,
2024-12-05T10:27:00-04:00,,8765.0,,,
2024-12-05T10:28:00-04:00,,,,,
2024-12-05T10:29:00-04:00,,8901.0,,,
2024-12-05T10:30:00-04:00,,,,,
2024-12-05T10:31:00-04:00,,,,,
2024-12-05T10:32:00-04:00,,8778.0,,,
2024-12-05T10:33:00-04:00,,8906.0,,,
2024-12-05T10:34:00-04:00,,8771.0,,,
2024-12-05T10:35:00-04:00,,8968.0,,,
2024-12-05T10:36:00-04:00,,8934.0,,,
2024-12-05T10:37:00-04:00,,8895.0,,,
2024-12-05T10:38:00-04:00,,8970.0,,,
2024-12-05T10:39:00-04:00,,8478.0,,,
2024-12-05T10:40:00-04:00,,8919.0,,,
2024-12-05T10:41:00-04:00,,8995.0,,,
2024-12-05T10:42:00-04:00,,8970.0,,,
2024-12-05T10:43:00-04:00,,,,,
2024-12-05T10:44:00-04:00,,8696.0,,,
2024-12-05T10:45:00-04:00,,8821.0,,,
2024-12-05T10:46:00-04:00,,,,,
2024-12-05T10:47:00-04:00,,8946.0,,,
2024-12-05T10:48:00-04:00,,8979.0,,,
2024-12-05T10:49:00-04:00,,8540.0,,,
2024-12-05T10:50:00-04:00,,,,,
2024-12-05T10:51:00-04:00,,8634.0,,,
2024-12-05T10:52:00-04:00,,8641.0,,,
2024-12-05T10:53:00-04:00,,8917.0,,,
2024-12-05T10:54:00-04:00,,,,,
2024-12-05T10:55:00-04:00,,8856.0,,,
2024-12-05T10:56:00-04:00,,8902.0,,,
2024-12-05T10:57:00-04:00,,8955.0,,,
2024-12-05T10:58:00-04:00,,8639.0,,,
2024-12-05T10:59:00-04:00,,8991.0,,,
2024-12-05T11:00:00-04:00,,8563.0,,,
2024-12-05T11:01:00-04:00,,,,,
2024-12-05T11:02:00-04:00,,8707.0,,,
2024-12-05T11:03:00-04:00,,8564.0,,,
2024-12-05T11:04:00-04:00,,8447.0,,,
2024-12-05T11:05:00-04:00,,8843.0,,,
2024-12-05T11:06:00-04:00,,8617.0,,,
2024-12-05T11:07:00-04:00,,8699.0,,,
2024-12-05T11:08:00-04:00,,,,,
2024-12-05T11:09:00-04:00,,8675.0,,,
2024-12-05T11:10:00-04:00,,8743.0,,,
2024-12-05T11:11:00-04:00,,8486.0,,,
2024-12-05T11:12:00-04:00,,8659.0,,,
2024-12-05T11:13:00-04:00,,8912.0,,,
