col,type,score,threshold,method,drift_detected,ref_count,cur_count,ref_missing_pct,cur_missing_pct,ref_mean,cur_mean,plant,strategy,metric
Nivel Ecualizador 2 (Tk 250m3),numeric,52.11297162846367,2.2294009236016286,wasserstein,True,,,,,,,planta1,golden,wasserstein
Turbidez salida DAF,numeric,373.6092326094879,5.392974958327226,wasserstein,True,,,,,,,planta1,golden,wasserstein
pH Clarificado DAF (Tk 80m3),numeric,2.0124973868711886,0.1002837893837873,wasserstein,True,,,,,,,planta1,golden,wasserstein
pH coagulación entrada DAF,numeric,1.011389839123595,0.0678503838642386,wasserstein,True,,,,,,,planta1,golden,wasserstein
pH entrada a Ecualizador 2 (Tk 250m3),numeric,0.304595247652111,0.029819276541657135,wasserstein,True,,,,,,,planta1,golden,wasserstein
pH salida a Parshall 02,numeric,1.0689102811164897,0.63950414781478,wasserstein,True,,,,,,,planta1,golden,wasserstein
pH salida y control Ecualizador 1,numeric,1.9852989151491547,1.133143063849287,wasserstein,True,,,,,,,planta1,golden,wasserstein
planta1_activa,categorical,4.405437658128626,0.2,wasserstein,True,,,,,,,planta1,golden,wasserstein
Conductividad DAF,numeric,0.3188542673706651,0.15,ks,True,,,,,,,planta1,seasonal,ks
Flujo Parshall 01 entrada a Ecualizador 1,numeric,0.12368929872834089,0.15,ks,False,,,,,,,planta1,seasonal,ks
Flujo de envío a DAF,numeric,0.3001859150739942,0.15,ks,True,,,,,,,planta1,seasonal,ks
Nivel Clarificado DAF (Tk 80m3),numeric,0.38758830966014723,0.15,ks,True,,,,,,,planta1,seasonal,ks
Nivel Ecualizador 1 (Tk 30m3),numeric,0.559945217024863,0.15,ks,True,,,,,,,planta1,seasonal,ks
Nivel Ecualizador 2 (Tk 250m3),numeric,0.7627413797377358,0.15,ks,True,,,,,,,planta1,seasonal,ks
Turbidez salida DAF,numeric,0.4285986961156144,0.15,ks,True,,,,,,,planta1,seasonal,ks
pH Clarificado DAF (Tk 80m3),numeric,0.7610619469026548,0.15,ks,True,,,,,,,planta1,seasonal,ks
pH coagulación entrada DAF,numeric,0.9504201680672268,0.15,ks,True,,,,,,,planta1,seasonal,ks
pH entrada a Ecualizador 2 (Tk 250m3),numeric,0.7440445204630525,0.15,ks,True,,,,,,,planta1,seasonal,ks
pH salida a Parshall 02,numeric,0.47584715302050024,0.15,ks,True,,,,,,,planta1,seasonal,ks
pH salida y control Ecualizador 1,numeric,0.41083017277707545,0.15,ks,True,,,,,,,planta1,seasonal,ks
planta1_activa,categorical,4.405437658128626,0.2,ks,True,,,,,,,planta1,seasonal,ks
Conductividad DAF,numeric,0.5570182940432811,0.55,mannwhitney,True,,,,,,,planta1,seasonal,mannwhitney
Flujo Parshall 01 entrada a Ecualizador 1,numeric,0.4707199251381969,0.55,mannwhitney,False,,,,,,,planta1,seasonal,mannwhitney
Flujo de envío a DAF,numeric,0.42129378299992565,0.55,mannwhitney,False,,,,,,,planta1,seasonal,mannwhitney
Nivel Clarificado DAF (Tk 80m3),numeric,0.3533774571775613,0.55,mannwhitney,False,,,,,,,planta1,seasonal,mannwhitney
